chain,chain_index,sample,score
XHUKCOIGCR,23 7 20 10 2 14 8 6 2 17,0.8084826340277982 -0.4125904423551048 0.5726451685262257 -0.16216064105169137 -0.8251283728029546 0.11322741962059446 -0.3151630644773451 -0.48726446031235615 -0.800958836002297 0.33948836636586854,3.9011423074873552
EOHWNRHUKE,4 14 7 22 13 17 7 20 10 4,-0.6422378196438705 0.13769714776857978 -0.42843322036187326 0.7003144262488461 0.06532873084394764 0.3237453738104905 -0.4424659319291604 0.5787231499451229 -0.2053980423096824 -0.6345990991760078,3.7583645259080574
OCTBFYEQZX,14 2 19 1 5 24 4 16 25 23,0.08654816812684718 -0.7714083719576679 0.5165131982488194 -0.8905314660459633 -0.5452930924368189 0.899573414397149 -0.6797096964429403 0.26964550293342504 0.9577273629586187 0.8161627009765016,4.173734289184171
CSYBPYJJNF,2 18 24 1 15 24 9 9 13 5,-0.8301112859919122 0.4232935032002991 0.890644327577278 -0.8838693575847836 0.18040867679458805 0.8602490603182174 -0.23432678221595848 -0.2697476610252807 0.00413779963808647 -0.5960087729135513,3.7466200763489685
RYQCDTGPEO,17 24 16 2 3 19 6 15 4 14,0.3828010099639847 0.9108483455440524 0.2405905828481365 -0.7761770628912201 -0.7658900417273715 0.5341996439125449 -0.473526365051149 0.21255879738138672 -0.6822893063275206 0.11783855910577423,3.968691574902277
MFDYJKIBVP,12 5 3 24 9 10 8 1 21 15,-0.05564841333927739 -0.555336255659115 -0.7124574986968226 0.8719714832446377 -0.2853873592954186 -0.1928420010243752 -0.3672594112979053 -0.853814936708976 0.6625082934842774 0.17177276772280026,3.754728299903992
WYPCCJRGFR,22 24 15 2 2 9 17 6 5 17,0.7395199306374252 0.9023741071087465 0.18812829761862493 -0.8033677699646005 -0.8382919409684011 -0.26635937412410704 0.32624177091193896 -0.5325144872101402 -0.5601688240967313 0.3749347662006093,4.109921349092971
ZZOOHOMGIF,25 25 14 14 7 14 12 6 8 5,0.9340380279316269 0.9368806391347584 0.10695851811854129 0.08645115447407159 -0.3886965548641854 0.13905893092150556 -0.0012100599840689785 -0.5099314919755793 -0.3261073874394127 -0.6062434952374853,3.4482991447619473
WRVEEJNWDP,22 17 21 4 4 9 13 22 3 15,0.7345749897692344 0.3390626686567981 0.6304688499027589 -0.6848196184854745 -0.640853663192134 -0.30763178879420106 0.04719254634964343 0.7602238014390525 -0.7287131245732814 0.16948391128866747,3.971042376234618
HMKNTNFWFR,7 12 10 13 19 13 5 22 5 17,-0.3880632602564291 -0.016438248754640616 -0.2146848409748685 0.00857084648629547 0.5152897637262652 0.01974074269735171 -0.5423147902131937 0.7658911256301255 -0.5723480284117279 0.3611210077137297,3.4374752046261574
GCHQTOZPTQ,6 2 7 16 19 14 25 15 19 16,-0.5347735739158945 -0.8134117620284285 -0.4390654599284194 0.23647711322888054 0.5247336437831611 0.14728333188168286 0.9648696424970509 0.1597580520916444 0.5148469416428556 0.2691762533907083,3.8548509497350207
DOQTQLKWBE,3 14 16 19 16 11 10 22 1 4,-0.6960928478458241 0.11766346665977045 0.3038044916113831 0.4797525332308161 0.2635310895136205 -0.07755405861924491 -0.16874896406878315 0.7416286316432856 -0.9022682115003511 -0.6464654462647876,3.6403677220029533
PYTKBONVWW,15 24 19 10 1 14 13 21 22 22,0.1933682709879958 0.86038356952861 0.5176641728228946 -0.20579730635889737 -0.8884216826641294 0.14277991051965766 0.05123604293881101 0.6805928710889289 0.7186290007649738 0.6937265700320037,3.7296801617900965
HWAXGWMGDA,7 22 0 23 6 22 12 6 3 0,-0.4208427188346864 0.719715967499664 -0.9414048042738254 0.816513778256474 -0.5240269568405245 0.7459554924088343 -0.06156042335812928 -0.5188817057259074 -0.7094378165822679 -0.993820481636644,4.323204989546159
RYGWKDFCOC,17 24 6 22 10 3 5 2 14 2,0.341152572863487 0.9188056524067512 -0.49998128946923037 0.7153703587854692 -0.1738382348533516 -0.7669974162258637 -0.604398006287157 -0.811260041569327 0.1171715327067202 -0.8375266983461569,4.062375182292435
MMIRNPFTBP,12 12 8 17 13 15 5 19 1 15,-0.04737305648351686 -0.0054409961976884524 -0.3665197562815188 0.37293862648144294 0.03773626051092749 0.18311449462715812 -0.5607291427637917 0.5127097209396076 -0.9185210611222243 0.20519639198141393,3.207106339265487
WQQXMPRDZP,22 16 16 23 12 15 17 3 25 15,0.7270541397134516 0.28698725033644457 0.24329325474808394 0.8062692376156466 -0.07634706131263558 0.1640096632675614 0.3117764673049601 -0.6924321598109213 0.9521537752740643 0.15451238489363028,3.5005564245357736
RQUUQYRLCD,17 16 20 20 16 24 17 11 2 3,0.37730354018411627 0.2939331244141259 0.5922331791993625 0.5735234343555851 0.28291745359888565 0.8484741724775962 0.31991912665236066 -0.10318181582497021 -0.8450498936293762 -0.7626471199500715,3.956201665767623
XAIWPKSVFB,23 0 8 22 15 10 18 21 5 1,0.800684994753859 -0.9699167818209147 -0.3355878570792399 0.7368752714224254 0.18905907926368148 -0.1539184257095636 0.4243271183348607 0.6901493519018103 -0.6116827360640951 -0.8670948756388019,4.08685975096105
NAOVAMOCHL,13 0 14 21 0 12 14 2 7 11,0.023119070492214622 -0.9455886260893858 0.09764181189986876 0.6578705409339167 -0.9716707630581101 -0.02515840328380703 0.1284843491186387 -0.7826309453913876 -0.3871824527650205 -0.07842006431074888,3.1346882798163134
XJBKTVZLTL,23 9 1 10 19 21 25 11 19 11,0.8013814099075254 -0.2516191724685366 -0.8656132286481029 -0.22691540593034887 0.5311937740751622 0.6235610156731048 0.9688932821590079 -0.1435653334760767 0.5038116236709471 -0.10204469175239539,3.834167684129014
YFOHFKLGJP,24 5 14 7 5 10 11 6 9 15,0.9154332972322461 -0.5913776217345146 0.15114513534384133 -0.41159169412554153 -0.57831043940483 -0.16098416025355466 -0.09071687456133337 -0.48384889985345714 -0.28097647753606725 0.19241422579620293,3.526430318456413
YZRAXYHFMO,24 25 17 0 23 24 7 5 12 14,0.9080828868661397 0.9452590469083708 0.3796387669757799 -0.9974175905984899 0.8295600615173062 0.8522148922844288 -0.40924456728448644 -0.5441777644438561 -0.03661399271389931 0.10119756373545075,3.9286295659265744
WOLWNCQHWH,22 14 11 22 13 2 16 7 22 7,0.7034318920792719 0.12261741433997853 -0.1376939394759953 0.7266679899950441 0.01190597103047919 -0.7969793418939115 0.2901005233519247 -0.40428109333727646 0.7045185010144086 -0.45596436721572164,3.6826071996433574
