n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,1.0022064924240113,0.11911635252245681,-0.3398850917816162,0.3370155345051016
5,0.8778900861740112,0.014648392913960131,-0.012830233573913575,0.030317192736786697
10,0.8966359734535218,0.0528390334108172,-0.05859731435775757,0.11762297564930535
20,0.8215394377708435,0.022060813091619783,0.11328221559524536,0.03932311744798528
50,0.6067727088928223,0.04130592802081096,0.5134676575660706,0.0686717192836904
100,0.3736416757106781,0.023805097310220024,0.8159631609916687,0.02181508314216434
200,0.29033101797103883,0.006521410595492124,0.8890517711639404,0.005741969718512618
500,0.2400307446718216,0.0027444764391535963,0.924275028705597,0.0012006647300819564
1000,0.22093745768070222,0.002203775470571324,0.9356778025627136,0.0011389361940621022
2000,0.21232979297637938,0.0012588530403993155,0.9407945275306702,0.0007692939530442139
