n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,43.52793655395508,5.528502358356455,-0.3457900047302246,0.3469040614882234
5,34.55289001464844,5.5999176986718835,0.14610008001327515,0.25572084853609434
10,13.724383735656739,3.746024261924458,0.8576965451240539,0.07869166166255057
20,3.7351099967956545,0.9928632884609563,0.9895455837249756,0.0052361199118374545
50,1.6011769652366639,0.5903808467480136,0.9979525804519653,0.001298593344025112
100,0.9180392742156982,0.25737895987069503,0.9993656873703003,0.0003564047780002125
200,0.6685862421989441,0.052871785278618376,0.999685263633728,5.145768921934491e-05
500,0.5599510312080384,0.006932449362549294,0.9997809767723084,7.744806532974695e-06
1000,0.527426540851593,0.0010910588576068796,0.9998062968254089,2.2810441349136716e-06
2000,0.5135267972946167,0.0037354621499784053,0.9998168587684632,4.096638986347828e-06
