n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,0.4124024510383606,0.035556824581806444,-0.16099178791046143,0.17439318275999507
5,0.39322328567504883,0.013890689734135585,-0.052741050720214844,0.07852730069079188
10,0.3791673302650452,0.018781812229271243,0.01833641529083252,0.1132841500278832
20,0.34765719771385195,0.023375181021334252,0.17496461868286134,0.1049389543141223
50,0.2999397039413452,0.015546613977616988,0.38755667209625244,0.059962765730848244
100,0.24888695180416107,0.02758079453292794,0.5720388293266296,0.10317382333458652
200,0.19328888058662413,0.03197643491568853,0.7393830299377442,0.09091756746857146
500,0.10946471989154816,0.006342312953316794,0.9183950781822204,0.009067694757615648
1000,0.0753918930888176,0.00518246865989682,0.9618334293365478,0.00491936897256701
2000,0.04835917130112648,0.0007933309461650083,0.9843200206756592,0.000750792997043008
