n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,3.7350296497344972,0.4172172349985674,-0.5665132522583007,0.3826713315721845
5,3.0432865142822267,0.2783888783842169,-0.030732369422912596,0.19096186644086982
10,3.099194860458374,0.16960572810804572,-0.06248537302017212,0.10506414101016884
20,2.7794814109802246,0.14108907483993724,0.14665520191192627,0.07579952058611804
50,2.613690710067749,0.08758544619459303,0.24621038436889647,0.056233996282092816
100,2.408606767654419,0.041719712023889396,0.3609830975532532,0.017306320276355036
200,2.2192657947540284,0.0673367108616938,0.4555114388465881,0.03655493118744735
500,1.9008708238601684,0.03194205433384216,0.6024645447731019,0.010429388749347852
1000,1.3492758393287658,0.5653897279482629,0.76521737575531,0.15118450240400236
2000,0.26852983236312866,0.00930926974056667,0.9920930504798889,0.0005378039227581346
