n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,10986.2841796875,996.5714025666912,-0.19929656982421876,0.22370670214250227
5,11027.171484375,707.5806884736979,-0.2066515564918518,0.16698566108601587
10,9978.7611328125,814.8770466105658,0.008183169364929199,0.18697857463373052
20,8279.41728515625,884.3428606447932,0.3171390056610107,0.1486651676412851
50,5064.024560546875,745.7338069784621,0.7413882255554199,0.06952636083460571
100,3548.581298828125,975.493208043214,0.8690568208694458,0.06932400450072713
200,1262.8892822265625,76.87308248016394,0.9843356013298035,0.001303439001194123
500,746.2871459960937,189.73213422725092,0.9942502021789551,0.0024297380841170235
1000,475.266015625,106.26343653538602,0.9977056741714477,0.000909991350908495
2000,218.4455352783203,39.01996995862966,0.9995205640792847,0.0001557725425639904
